Region,Date,Monitored CAP in MW,Generation / Today's Program,Generation / Today's Actual,Generation / FY YTD Program,Generation / FY YTD Actual,Coal Stock in Days,CAP under outage,Outage Date,Expected Date / Sync Date,Remarks
SOUTHERN,2023-12-18,66206.945,740.0900000000001,681.1999999999999,216470.64999999997,203655.85,,22498.104,,,
EASTERN,2023-12-18,43157.46,665.0499999999996,640.2800000000001,196840.58,192352.30000000013,,7662.7,,,
NORTH EASTERN,2023-12-18,4477.955,61.879999999999995,48.699999999999996,22210.24999999999,16243.629999999997,,392.525,,,
BHUTAN IMP.,2023-12-18,0,20.1,0.41,6440.800000000003,4841.67,,0,,,
NORTHERN,2023-12-19,73206.23000000001,942.0800000000002,868.6999999999998,286458.19999999984,272182.41,,19152.50999999998,,,
WESTERN,2023-12-19,106374.48999999999,1436.6399999999994,1499.1699999999998,379462.89000000013,399091.44999999995,,26602.89,,,
SOUTHERN,2023-12-19,66206.945,740.0900000000001,694.5000000000005,217210.74000000002,204350.34999999998,,23246.304,,,
EASTERN,2023-12-19,43157.46,665.0499999999996,654.0100000000002,197505.63,193006.31000000003,,7692.7,,,
NORTH EASTERN,2023-12-19,4477.955,61.879999999999995,49.309999999999995,22272.13,16292.94,,502.66499999999996,,,
BHUTAN IMP.,2023-12-19,0,20.1,2.05,6460.900000000003,4843.72,,0,,,
NORTHERN,2023-12-20,73206.23000000001,920.9100000000002,883.3599999999997,287379.10999999975,273065.7699999998,,20654.509999999984,,,
WESTERN,2023-12-20,106374.48999999999,1432.2699999999995,1536.289999999999,380895.1599999996,400627.7400000002,,27167.89,,,
SOUTHERN,2023-12-20,66206.945,740.0900000000001,716.0700000000003,217950.82999999993,205066.42000000013,,23167.604,,,
EASTERN,2023-12-20,43157.46,677.9599999999996,674.9999999999999,198183.59,193681.31000000003,,7960.2,,,
NORTH EASTERN,2023-12-20,4477.955,62.459999999999994,50.410000000000004,22334.589999999997,16343.349999999995,,542.7,,,
BHUTAN IMP.,2023-12-20,0,20.1,1.76,6481.000000000003,4845.48,,0,,,
NORTHERN,2023-12-21,73206.23000000001,920.9100000000002,893.1999999999998,288300.02000000037,273958.97,,20069.109999999982,,,
WESTERN,2023-12-21,106374.48999999999,1432.5999999999997,1580.659999999999,382327.76,402208.40000000014,,26292.89,,,
SOUTHERN,2023-12-21,66206.945,736.6400000000002,738.7499999999998,218687.47000000012,205805.17000000016,,23715.704,,,
EASTERN,2023-12-21,43157.46,672.3799999999995,677.6900000000003,198855.97000000006,194358.99999999994,,8902.7,,,
NORTH EASTERN,2023-12-21,4477.955,62.91,50.92,22397.5,16394.269999999997,,372.7,,,
BHUTAN IMP.,2023-12-21,0,20.1,1.07,6501.100000000002,4846.55,,0,,,
NORTHERN,2023-12-22,73206.23000000001,924.4500000000002,901.2599999999999,289224.47000000003,274860.23000000004,,19984.109999999982,,,
WESTERN,2023-12-22,106374.48999999999,1437.5999999999997,1641.6999999999996,383765.36,403850.1,,24667.89,,,
SOUTHERN,2023-12-22,66206.945,736.6400000000002,751.67,219424.11,206556.84,,22775.904,,,
EASTERN,2023-12-22,43157.46,672.3799999999995,679.73,199528.35000000003,195038.7300000001,,8962.7,,,
NORTH EASTERN,2023-12-22,4477.955,62.91,50.97000000000002,22460.410000000025,16445.24,,328.3,,,
BHUTAN IMP.,2023-12-22,0,20.1,1.69,6521.200000000003,4848.24,,0,,,
NORTHERN,2023-12-23,73206.23000000001,940.01,886.789999999999,290164.47999999963,275747.02000000014,,19888.609999999982,,,
WESTERN,2023-12-23,106374.48999999999,1437.5999999999997,1610.4099999999999,385202.9600000003,405460.5100000001,,25962.89,,,
SOUTHERN,2023-12-23,66206.945,736.6400000000002,720.9999999999998,220160.75000000003,207277.8400000002,,22341.404,,,
EASTERN,2023-12-23,43157.46,672.3799999999995,643.96,200200.73000000004,195682.69,,9449.5,,,
NORTH EASTERN,2023-12-23,4477.955,63.47,50.06,22523.88,16495.29999999999,,323.26500000000004,,,
BHUTAN IMP.,2023-12-23,0,20.1,0.86,6541.300000000003,4849.1,,0,,,
NORTHERN,2023-12-24,73206.23000000001,940.01,840.6799999999997,291104.49000000005,276587.6999999999,,20315.609999999982,,,
WESTERN,2023-12-24,106374.48999999999,1440.9799999999998,1512.0300000000007,386643.9400000002,406972.54000000015,,27993.39,,,
SOUTHERN,2023-12-24,66206.945,736.6400000000002,689.2600000000002,220897.38999999978,207967.10000000015,,23706.404,,,
EASTERN,2023-12-24,43157.46,672.3799999999995,633.2299999999998,200873.11000000007,196315.91999999998,,10295,,,
NORTH EASTERN,2023-12-24,4477.955,63.47,49.670000000000016,22587.350000000002,16544.969999999994,,317.665,,,
BHUTAN IMP.,2023-12-24,0,20.1,0,6561.400000000003,4849.1,,0,,,
NORTHERN,2023-12-25,73206.23000000001,940.01,851.2600000000009,292044.50000000006,277438.95999999996,,20235.359999999982,,,
WESTERN,2023-12-25,106374.48999999999,1440.9799999999998,1571.7499999999998,388084.92,408544.2900000001,,26445.89,,,
SOUTHERN,2023-12-25,66206.945,736.6400000000002,714.8899999999994,221634.02999999997,208681.99000000005,,21837.704,,,
